FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,Traveller_Need,Available
189,Coningham Beach,Beach,Coningham,TAS,-43.07755405,147.28102302,Family support,TRUE
190,Dennes Point,Park or reserve,Dennes Point,TAS,-43.06827702,147.34982194,24-hour access,TRUE
190,Dennes Point,Park or reserve,Dennes Point,TAS,-43.06827702,147.34982194,Accessible access,TRUE
191,Dru Point Reserve,Park or reserve,Margate,TAS,-43.02458345,147.27662682,Accessible access,TRUE
191,Dru Point Reserve,Park or reserve,Margate,TAS,-43.02458345,147.27662682,Family support,TRUE
192,Ferguson Road,Car park,Tinderbox,TAS,-43.05705782,147.32961377,24-hour access,TRUE
194,Gordon Oval,Park or reserve,Gordon,TAS,-43.26149944,147.2424053,24-hour access,TRUE
194,Gordon Oval,Park or reserve,Gordon,TAS,-43.26149944,147.2424053,Accessible access,TRUE
194,Gordon Oval,Park or reserve,Gordon,TAS,-43.26149944,147.2424053,Caravan support,TRUE
195,Kettering Oval,Sporting facility,Kettering,TAS,-43.12549834,147.2474021,24-hour access,TRUE
197,Margate Community Hall,Other,Margate,TAS,-43.02949741,147.2633996,24-hour access,TRUE
197,Margate Community Hall,Other,Margate,TAS,-43.02949741,147.2633996,Accessible access,TRUE
197,Margate Community Hall,Other,Margate,TAS,-43.02949741,147.2633996,Family support,TRUE
198,Middleton Foreshore,Park or reserve,Middleton,TAS,-43.23263386,147.2577732,24-hour access,TRUE
199,Osborne Esplanade,Park or reserve,Kingston Beach,TAS,-42.9801188,147.324997,Accessible access,TRUE
199,Osborne Esplanade,Park or reserve,Kingston Beach,TAS,-42.9801188,147.324997,Family support,TRUE
199,Osborne Esplanade,Park or reserve,Kingston Beach,TAS,-42.9801188,147.324997,Caravan support,TRUE
201,Lunawanna Memorial Hall,Other,Lunawanna,TAS,-43.36448884,147.22788336,24-hour access,TRUE
203,Silverwater Park,Park or reserve,Woodbridge,TAS,-43.16249872,147.2394031,24-hour access,TRUE
203,Silverwater Park,Park or reserve,Woodbridge,TAS,-43.16249872,147.2394031,Accessible access,TRUE
204,Snug Foreshore,Park or reserve,Snug,TAS,-43.06349768,147.2624004,24-hour access,TRUE
204,Snug Foreshore,Park or reserve,Snug,TAS,-43.06349768,147.2624004,Accessible access,TRUE
204,Snug Foreshore,Park or reserve,Snug,TAS,-43.06349768,147.2624004,Family support,TRUE
205,Taroona Beach,Beach,Taroona,TAS,-42.95194387,147.35175971,24-hour access,TRUE
205,Taroona Beach,Beach,Taroona,TAS,-42.95194387,147.35175971,Accessible access,TRUE
206,Trial Bay,Park or reserve,Kettering,TAS,-43.13215411,147.25253004,24-hour access,TRUE
207,Woodbridge Community Hall,Other,Woodbridge,TAS,-43.15996043,147.23901139,24-hour access,TRUE
207,Woodbridge Community Hall,Other,Woodbridge,TAS,-43.15996043,147.23901139,Accessible access,TRUE
