FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2445,Welby Playing Fields,Sporting facility,Welby,NSW,-34.44091966,150.4236515,OPEN: Variable hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2447,Mount Gibraltar Bowral Lookout - Female,Park or reserve,Mittagong,NSW,-34.46959611,150.42975128,Currently closed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2448,"Centennial Park, Bowral",Park or reserve,Bowral,NSW,-34.47069739,150.4153111,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2449,"Corbett Gardens, Bowral",Park or reserve,Bowral,NSW,-34.47860506,150.41941035,OPEN: Daylight hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2450,"Bradman Oval, Bowral",Sporting facility,Bowral,NSW,-34.482836,150.42452109,OPEN: Daylight hours,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2452,"Oxley Mall Car Park, Bowral",Car park,Bowral,NSW,-34.47929395,150.41931739,OPEN: Daylight hours,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2453,"Lions Park, Bowral",Park or reserve,Bowral,NSW,-34.48322577,150.41646108,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2454,Burradoo Park,Park or reserve,Burradoo,NSW,-34.50361006,150.40579758,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2456,"Leighton Gardens, Moss Vale",Park or reserve,Moss Vale,NSW,-34.5490304,150.37188572,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2458,"Seymour Park, Moss Vale",Park or reserve,Moss Vale,NSW,-34.55894283,150.372883,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
